ZipCode,State,CombinedRate
71665,AR,0.0975
71667,AR,0.075
71670,AR,0.08
71671,AR,0.095
71674,AR,0.08
71675,AR,0.09
71676,AR,0.08
71677,AR,0.09
71678,AR,0.075
71701,AR,0.1125
71720,AR,0.095
71721,AR,0.08
71722,AR,0.085
71724,AR,0.085
71725,AR,0.085
71726,AR,0.095
71728,AR,0.08
71730,AR,0.0975
71731,AR,0.0975
71740,AR,0.08
71742,AR,0.1
71743,AR,0.095
71744,AR,0.09
71745,AR,0.09
71747,AR,0.085
71748,AR,0.085
71749,AR,0.085
71750,AR,0.085
71751,AR,0.095
71752,AR,0.08
71753,AR,0.10375
71754,AR,0.10375
71758,AR,0.085
71759,AR,0.085
71762,AR,0.085
71763,AR,0.085
71764,AR,0.095
71765,AR,0.085
71766,AR,0.1
71770,AR,0.08
71772,AR,0.08
71801,AR,0.095
71820,AR,0.0875
71822,AR,0.1075
71823,AR,0.08875
71825,AR,0.085
71826,AR,0.0875
71827,AR,0.0875
71828,AR,0.085
71831,AR,0.085
71832,AR,0.09875
71833,AR,0.0925
71834,AR,0.0775
71835,AR,0.085
71836,AR,0.0875
71837,AR,0.0775
71838,AR,0.085
71839,AR,0.0875
71840,AR,0.0775
71841,AR,0.08875
71842,AR,0.08875
71845,AR,0.0875
71846,AR,0.08875
71847,AR,0.085
71851,AR,0.0925
71852,AR,0.1025
71853,AR,0.0875
71854,AR,0.1025
71855,AR,0.085
71857,AR,0.095
71858,AR,0.085
71859,AR,0.085
71860,AR,0.0975
71861,AR,0.08
71862,AR,0.085
71864,AR,0.085
71865,AR,0.0975
71866,AR,0.0875
71901,AR,0.095
71902,AR,0.095
71903,AR,0.095
71909,AR,0.08
71910,AR,0.08
71913,AR,0.08
71914,AR,0.095
71921,AR,0.08
71922,AR,0.085
71923,AR,0.09
71929,AR,0.08
71933,AR,0.08
71935,AR,0.075
71937,AR,0.085
71940,AR,0.085
71941,AR,0.08
71942,AR,0.08
71943,AR,0.1
71944,AR,0.085
71945,AR,0.085
71949,AR,0.08
71950,AR,0.085
71952,AR,0.085
71953,AR,0.095
71956,AR,0.08
71957,AR,0.075
71958,AR,0.1
71959,AR,0.085
71960,AR,0.075
71961,AR,0.075
71962,AR,0.08
71964,AR,0.08
71965,AR,0.075
71966,AR,0.075
71968,AR,0.08
71969,AR,0.075
71970,AR,0.075
71971,AR,0.0925
71972,AR,0.085
71973,AR,0.085
71998,AR,0.09
71999,AR,0.09
72001,AR,0.09
72002,AR,0.065
72003,AR,0.075
72004,AR,0.08125
72005,AR,0.0875
72006,AR,0.085
72007,AR,0.075
72010,AR,0.09
72011,AR,0.065
72012,AR,0.09
72013,AR,0.085
72014,AR,0.0925
72015,AR,0.09
72016,AR,0.09
72017,AR,0.08
72018,AR,0.09
72019,AR,0.065
72020,AR,0.0875
72021,AR,0.085
72022,AR,0.095
72023,AR,0.095
72024,AR,0.075
72025,AR,0.09
72026,AR,0.075
72027,AR,0.0825
72028,AR,0.085
72029,AR,0.095
72030,AR,0.0825
72031,AR,0.085
72032,AR,0.0875
72033,AR,0.0875
72034,AR,0.0875
72035,AR,0.0875
72036,AR,0.085
72037,AR,0.085
72038,AR,0.075
72039,AR,0.085
72040,AR,0.09
72041,AR,0.08
72042,AR,0.11
72043,AR,0.0975
72044,AR,0.08125
72045,AR,0.08
72046,AR,0.105
72047,AR,0.07
72048,AR,0.075
72051,AR,0.075
72052,AR,0.08
72053,AR,0.075
72055,AR,0.075
72057,AR,0.0775
72058,AR,0.07
72059,AR,0.075
72060,AR,0.08
72061,AR,0.085
72063,AR,0.0825
72064,AR,0.11
72065,AR,0.065
72066,AR,0.08
72067,AR,0.08125
72068,AR,0.09
72069,AR,0.065
72070,AR,0.09
72072,AR,0.075
72073,AR,0.075
72074,AR,0.075
72075,AR,0.0875
72076,AR,0.095
72078,AR,0.095
72079,AR,0.08125
72080,AR,0.085
72081,AR,0.08
72082,AR,0.08
72083,AR,0.085
72084,AR,0.0775
72085,AR,0.08
72086,AR,0.075
72087,AR,0.065
72088,AR,0.1
72089,AR,0.095
72099,AR,0.095
72101,AR,0.075
72102,AR,0.08
72103,AR,0.065
72104,AR,0.08
72105,AR,0.08
72106,AR,0.07
72107,AR,0.1125
72110,AR,0.0925
72111,AR,0.07
72112,AR,0.1025
72113,AR,0.085
72114,AR,0.085
72115,AR,0.085
72116,AR,0.085
72117,AR,0.085
72118,AR,0.085
72119,AR,0.085
72120,AR,0.085
72121,AR,0.08
72122,AR,0.065
72123,AR,0.085
72124,AR,0.085
72125,AR,0.09
72126,AR,0.09
72127,AR,0.0825
72128,AR,0.0775
72129,AR,0.0775
72130,AR,0.08125
72131,AR,0.08125
72132,AR,0.08125
72133,AR,0.08125
72134,AR,0.065
72135,AR,0.075
72136,AR,0.08
72137,AR,0.08
72139,AR,0.08
72140,AR,0.075
72141,AR,0.085
72142,AR,0.075
72143,AR,0.095
72145,AR,0.095
72149,AR,0.095
72150,AR,0.0775
72152,AR,0.08125
72153,AR,0.085
72156,AR,0.0825
72157,AR,0.0825
72160,AR,0.105
72164,AR,0.075
72165,AR,0.0825
72166,AR,0.075
72167,AR,0.065
72168,AR,0.08125
72169,AR,0.0875
72170,AR,0.08
72173,AR,0.07
72175,AR,0.08125
72176,AR,0.075
72178,AR,0.08
72179,AR,0.08125
72180,AR,0.075
72181,AR,0.07
72182,AR,0.08125
72183,AR,0.075
72190,AR,0.085
72199,AR,0.075
72201,AR,0.09
72202,AR,0.09
72203,AR,0.09
72204,AR,0.09
72205,AR,0.09
72206,AR,0.075
72207,AR,0.09
72209,AR,0.09
72210,AR,0.075
72211,AR,0.09
72212,AR,0.09
72214,AR,0.09
72215,AR,0.09
72216,AR,0.09
72217,AR,0.09
72219,AR,0.09
